,A_YEAR,B_COUNTRY,B_COUNTRY_ALPHA,S_INTLANGUAGE,LNGE_ISO,Q260,Q262,X003R2,Q272,Q273,Q274,Q275,Q275R,Q281,Q284,Q287,Q288R,Q289,Q290
3001,2019,158,TWN,2870,zh,2,64,3,2870,1,2,6,3,2,2,2,2,9,158002
3002,2022,858,URY,1270,es,2,48,2,1270,3,2,7,3,1,2,2,2,0,858100
3003,2018,764,THA,4230,th,1,58,3,1260,1,2,2,1,9,-2,4,2,7,764001
3004,2022,203,CZE,1040,cs,1,19,1,1040,6,2,1,1,11,1,3,2,0,203003
3005,2020,364,IRN,3490,fa,1,21,1,1540,6,0,4,2,0,-3,3,2,5,364005
3006,2018,20,AND,1270,es,1,38,2,1270,6,0,6,3,1,1,3,2,1,20001
3007,2018,368,IRQ,170,ar,2,47,2,170,1,6,1,1,-2,-2,4,2,5,368001
3008,2020,804,UKR,4410,uk,1,85,3,4410,1,3,1,1,9,1,5,1,-1,804001
3009,2018,484,MEX,1270,es,1,52,3,1270,1,4,3,2,7,2,4,1,-2,484003
3010,2017,68,BOL,1270,es,2,38,2,1270,1,2,3,2,4,1,2,2,1,68001
3011,2019,788,TUN,170,ar,2,38,2,4360,1,2,4,2,3,1,3,2,5,788005
3012,2018,36,AUS,1240,en,2,42,2,1240,1,3,3,2,4,2,2,2,1,36001
3013,2018,368,IRQ,170,ar,1,28,1,170,1,2,6,3,4,2,1,3,5,368001
3014,2020,804,UKR,3630,ru,2,73,3,3630,5,2,7,3,5,1,3,2,3,804001
3015,2021,51,ARM,200,hy,1,26,1,200,2,1,6,3,2,1,3,2,3,51001
3016,2018,764,THA,4230,th,1,25,1,4230,6,0,2,1,10,-2,3,2,7,764001
3017,2023,356,IND,1740,hi,2,61,3,1740,1,9,0,1,0,-1,5,1,6,356017
3018,2018,360,IDN,1890,id,2,36,2,9000,1,3,2,1,10,2,3,1,2,360999
3019,2018,458,MYS,2810,ms,1,52,3,2810,1,3,2,1,1,2,3,2,5,458004
3020,2017,68,BOL,1270,es,1,34,2,1270,1,2,6,3,1,3,3,2,1,68001
3021,2017,68,BOL,1270,es,2,33,2,1270,2,4,1,1,-2,-2,3,1,1,68008
3022,2023,356,IND,1740,hi,1,51,3,1740,1,4,3,2,9,3,4,2,6,356019
3023,2020,496,MNG,3030,mn,2,41,2,3030,2,3,6,3,3,1,4,2,0,496001
3024,2018,360,IDN,1890,id,2,30,2,1890,2,3,3,2,0,-3,4,1,2,360999
3025,2018,410,KOR,2390,ko,2,52,3,2390,1,2,3,2,5,3,3,2,2,410004
3026,2018,400,JOR,170,ar,2,25,1,170,1,3,3,2,0,-3,5,1,5,-4
3027,2020,496,MNG,3030,mn,1,41,2,3030,1,2,5,3,1,1,2,3,0,496001
3028,2018,586,PAK,4420,ur,2,55,3,3540,1,7,6,3,0,-3,3,2,5,586001
3029,2020,124,CAN,1240,en,2,19,1,1240,6,0,3,2,0,-3,2,2,0,124009
3030,2019,158,TWN,2870,zh,1,34,2,2870,1,1,7,3,6,2,4,2,9,158002
3031,2020,320,GTM,1270,es,1,52,3,1270,-2,-2,0,1,-2,-2,-2,-2,1,-2
3032,2017,643,RUS,3630,ru,2,35,2,3630,1,0,3,2,5,1,3,2,0,643001
3033,2018,400,JOR,170,ar,1,19,1,170,6,0,3,2,7,-2,5,1,5,-4
3034,2020,496,MNG,3030,mn,2,44,2,3030,1,0,1,1,1,1,4,3,3,496001
3035,2019,446,MAC,2870,zh,1,24,1,790,6,0,6,3,5,1,2,2,0,446006
3036,2018,398,KAZ,3630,ru,2,41,2,3630,1,2,6,3,1,2,2,2,5,398025
3037,2020,702,SGP,1240,en,1,21,1,1240,6,0,3,2,3,1,5,2,7,702004
3038,2018,586,PAK,4420,ur,1,38,2,3860,1,1,1,1,9,2,5,-2,5,586004
3039,2019,446,MAC,2870,zh,2,21,1,790,6,0,6,3,11,2,3,2,0,446006
3040,2018,566,NGA,1240,en,1,28,1,4620,6,0,2,1,6,-2,4,2,2,566001
3041,2022,860,UZB,4450,uz,1,32,2,4450,1,2,6,3,1,1,2,2,1,860007
3042,2019,196,CYP,4370,tr,1,36,2,4370,1,0,6,3,1,2,2,2,5,196001
3043,2020,364,IRN,3490,fa,2,36,2,3490,6,0,4,2,5,2,3,1,5,364001
3044,2021,462,MDV,1105,dv,1,46,2,1105,1,4,1,1,3,1,3,1,5,462003
3045,2018,398,KAZ,2230,kk,1,33,2,2230,1,0,6,3,1,2,2,2,5,398025
3046,2018,630,PRI,1270,es,1,44,2,1270,1,3,4,2,7,1,4,2,1,630013
3047,2020,124,CAN,1240,en,1,62,3,1240,3,0,3,2,7,1,3,2,2,124001
3048,2021,404,KEN,1240,en,2,26,1,3920,6,0,3,2,11,2,2,2,5,404010
3049,2018,20,AND,1270,es,1,52,3,810,1,2,3,2,4,2,4,2,1,20001
3050,2018,218,ECU,1270,es,1,50,3,1270,1,2,6,3,6,-2,3,1,0,218012
3051,2018,360,IDN,1890,id,1,57,3,1890,1,2,3,2,9,2,5,1,5,360012
3052,2023,356,IND,1740,hi,2,36,2,1740,1,3,2,1,8,2,4,2,6,356017
3053,2022,528,NLD,1190,nl,2,76,3,9000,1,2,1,1,8,-1,-5,2,2,528001
3054,2020,417,KGZ,2310,ky,2,45,2,2310,1,2,5,3,7,2,2,2,5,417001
3055,2018,36,AUS,1240,en,2,22,1,1240,6,0,6,3,5,2,2,2,7,36003
3056,2018,586,PAK,4420,ur,2,36,2,3540,1,4,1,1,0,-3,3,2,5,586001
3057,2018,36,AUS,1240,en,1,23,1,1240,6,0,7,3,1,1,3,2,0,36001
3058,2018,586,PAK,4420,ur,1,20,1,3540,6,0,2,1,4,-1,3,2,5,586001
3059,2018,156,CHN,2870,zh,1,33,2,2870,1,1,2,1,0,-3,4,1,0,156001
3060,2018,344,HKG,790,zh,1,57,3,790,1,2,3,2,8,1,4,1,0,344001
3061,2022,528,NLD,1190,nl,2,58,3,1190,1,0,4,2,3,2,4,3,0,528001
3062,2022,826,GBR,1240,en,2,52,3,1240,1,-4,6,3,1,2,-4,3,2,826100
3063,2020,716,ZWE,1240,en,1,22,1,3200,6,0,3,2,0,-3,5,1,0,716007
3064,2018,156,CHN,2870,zh,2,29,1,9060,1,2,1,1,5,2,3,2,7,156001
3065,2017,68,BOL,1270,es,2,67,3,3570,5,9,0,1,8,2,5,1,1,68002
3066,2018,170,COL,1270,es,2,67,3,-2,5,2,6,3,0,1,4,1,8,170008
3067,2017,840,USA,1240,en,2,44,2,2870,6,0,7,3,1,2,4,2,0,840003
3068,2018,586,PAK,4420,ur,1,18,1,4420,6,0,3,2,7,-1,4,2,5,586007
3069,2018,398,KAZ,3630,ru,1,47,2,3630,1,3,5,3,6,1,2,2,5,398025
3070,2020,716,ZWE,1240,en,1,23,1,3200,6,0,2,1,4,2,4,1,2,716006
3071,2018,170,COL,1270,es,2,38,2,1270,2,3,3,2,4,2,4,2,0,170011
3072,2021,862,VEN,1270,es,2,19,1,1270,6,0,3,2,0,-3,4,2,2,862001
3073,2020,554,NZL,1240,en,1,71,3,1240,1,2,8,3,1,1,2,3,8,-4
3074,2018,360,IDN,1890,id,2,65,3,1890,5,1,0,1,-2,2,5,1,5,360012
3075,2020,104,MMR,740,my,1,38,2,740,1,3,2,1,9,-1,5,1,7,104001
3076,2022,434,LBY,170,ar,1,40,2,9000,6,0,6,3,-1,-2,3,2,5,434005
3077,2017,643,RUS,3630,ru,2,27,1,3630,3,1,7,3,4,-2,3,2,0,643001
3078,2017,32,ARG,1270,es,2,70,3,1270,1,-5,1,1,0,-3,4,2,1,32001
3079,2020,320,GTM,1270,es,2,26,1,1270,6,0,8,3,1,1,1,3,2,320005
3080,2019,788,TUN,170,ar,2,75,3,4360,3,6,1,1,0,-3,2,2,0,788005
3081,2020,716,ZWE,1240,en,1,30,2,3200,6,0,3,2,6,-2,2,2,1,716007
3082,2018,76,BRA,3530,pt,2,47,2,3530,5,4,1,1,5,2,-1,-1,2,76001
